pageid,title
1478649,Kostis Hatzidakis
2780816,Kyriakos Mitsotakis
2865375,Theodoros Pangalos (politician)
5184627,Makis Voridis
7325136,Vasilis Kikilias
9537692,Adonis Georgiadis
13345162,Thanos Plevris
35838212,Panagiotis Pikrammenos
36262918,Yannis Stournaras
43782987,Christos Stylianides
44060823,Konstantinos Tsiaras
44706327,Nikos Dendias
46203093,Notis Mitarachi
46314762,Kostas Bakoyannis
48673156,Ioannis Plakiotakis
49798419,Christos Staikouras
59677677,Konstantinos Floros
61389979,Kyriakos Pierrakakis
61472238,Niki Kerameus
61772562,Konstantinos Tasoulas
62836868,Katerina Sakellaropoulou
65031302,Nikolaos Panagiotopoulos
65041548,Lina Mendoni
66645112,Kostas Skrekas
71004668,"Kostas Karamanlis (politician, born 1974)"
